Turno;Curso;Unidade de execução;Turma;Inscritos no turno;Turnos com capacidade superior à capacidade das características das salas;Turno com inscrições superiores à capacidade das salas;Dia da Semana;Início;Fim;Slots;Características pedidas;Sala da aula;Lotação
02798TP01;CEPPARM;Administração da Água: o Papel dos Municípios;CE-PPARM01;0;;;Sáb;09:30:00;13:00:00;7;Sala Aulas Mestrado;;
02817TP02;MPCPCJR;Avaliação Psicológica da Criança e do Adulto;MPCPCJRA1;28;;;Seg;20:00:00;22:00:00;4;Sala Aulas Mestrado;;
02817TP02;MPCPCJR;Avaliação Psicológica da Criança e do Adulto;MPCPCJRA1;28;;;Seg;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
02827S01;DSS;Empreendedorismo e Integração Social;DSSA1;5;;;Qua;20:30:00;22:30:00;4;Sala Aulas Mestrado;;
02827S01;DSS;Empreendedorismo e Integração Social;DSSA1;5;;;Qua;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
02830TP01;MIA;Acompanhamento de Obra e Fotogrametria;ARE6, ARE5, ARE4, ARE3, ARE2, ARE1;26;;;Seg;11:00:00;12:30:00;3;Sala de Aulas normal;;
02830TP01;MIA;Acompanhamento de Obra e Fotogrametria;ARE6, ARE5, ARE4, ARE3, ARE2, ARE1;26;;;Seg;09:30:00;11:00:00;3;Sala de Aulas normal;;
02835-1TP01;LFC, LGIL;Gestão de Transportes;FCC2, FCC1, GILC1;22;;;Ter;08:00:00;09:30:00;3;Sala de Aulas normal;;
02835-1TP01;LFC, LGIL;Gestão de Transportes;FCC2, FCC1, GILC1;22;;;Ter;09:30:00;11:00:00;3;Sala de Aulas normal;;
02839TP01;PGPPSDN;Planeamento das Políticas Públicas;PG PPSDN_01;8;;;Seg;20:30:00;22:30:00;4;Sala Aulas Mestrado;;
02841TP01;PGPPSDN;Seminário de Temas Contemporâneos em Segurança e Defesa Nacional I;PG PPSDN_01;8;;;Qua;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
02844TP01;CECVI;Geração de Visualizações na Era Digital;CE-VSI01;18;;;Sáb;11:00:00;13:00:00;4;Sala Aulas Mestrado;;
02844TP01;CECVI;Geração de Visualizações na Era Digital;CE-VSI01;18;;;Sáb;09:00:00;11:00:00;4;Sala Aulas Mestrado;;
02847TP01;LSS-PL;Direito da Família e da Criança;SS-PL-B2, SS-PL-B1;41;;;Qui;18:00:00;19:30:00;3;Sala de Aulas normal;;
02847TP01;LSS-PL;Direito da Família e da Criança;SS-PL-B2, SS-PL-B1;41;;;Qui;16:30:00;18:00:00;3;Sala de Aulas normal;;
02848TP01;LSS-PL;Análise de Dados Descritiva;SS-PL-B2;21;;;Ter;18:00:00;19:30:00;3;Laboratório de Informática;;
02848TP01;LSS-PL;Análise de Dados Descritiva;SS-PL-B2;21;;;Ter;16:30:00;18:00:00;3;Laboratório de Informática;;
02848TP01;LSS-PL;Análise de Dados Descritiva;SS-PL-B2;21;;;Qua;19:30:00;21:00:00;3;Sala de Aulas normal;;
02848TP02;LSS-PL;Análise de Dados Descritiva;SS-PL-B1;25;;;Ter;18:00:00;19:30:00;3;Laboratório de Informática;;
02848TP02;LSS-PL;Análise de Dados Descritiva;SS-PL-B1;25;;;Ter;16:30:00;18:00:00;3;Laboratório de Informática;;
02848TP02;LSS-PL;Análise de Dados Descritiva;SS-PL-B1;25;;;Qua;19:30:00;21:00:00;3;Sala de Aulas normal;;
02852TP01;LSS-PL;Abordagens à Psicopatologia;SS-PL-C2, SS-PL-C1;47;;;Ter;18:00:00;19:30:00;3;Sala de Aulas normal;;
02852TP01;LSS-PL;Abordagens à Psicopatologia;SS-PL-C2, SS-PL-C1;47;;;Ter;16:30:00;18:00:00;3;Sala de Aulas normal;;
02853S01;LSS-PL;Estágio em Serviço Social II (18 Ects);;1;;;Ter;18:00:00;19:00:00;2;0;;
02853S01;LSS-PL;Estágio em Serviço Social II (18 Ects);;1;;;Ter;17:00:00;18:00:00;2;0;;
02854TP01;LSS-PL;Metodologias do Serviço Social na Saúde;SS-PL-C2, SS-PL-C1;27;;;Sex;18:00:00;19:30:00;3;Sala de Aulas normal;;
02854TP01;LSS-PL;Metodologias do Serviço Social na Saúde;SS-PL-C2, SS-PL-C1;27;;;Sex;16:30:00;18:00:00;3;Sala de Aulas normal;;
02855TP01;LSS-PL;Intervenção Social com Pessoas Idosas;SS-PL-C2, SS-PL-C1;19;;;Sex;18:00:00;19:30:00;3;Sala de Aulas normal;;
02855TP01;LSS-PL;Intervenção Social com Pessoas Idosas;SS-PL-C2, SS-PL-C1;19;;;Sex;16:30:00;18:00:00;3;Sala de Aulas normal;;
02858TP01;LCP;Economia Política e Globalização;CPC1;26;;;Qua;14:30:00;16:00:00;3;Sala de Aulas normal;;
02858TP01;LCP;Economia Política e Globalização;CPC1;26;;;Qua;13:00:00;14:30:00;3;Sala NEE;;
02866TPLTP01;METI;Sistemas Distribuídos de Sensores Inteligentes;METIB1;9;;;Ter;21:00:00;22:30:00;3;Lab ISTA;;
02866TPLTP01;METI;Sistemas Distribuídos de Sensores Inteligentes;METIB1;9;;;Ter;19:30:00;21:00:00;3;Sala Aulas Mestrado;;
02872S01;MSS;Seminário Avançado em Serviço Social na Saúde;MSSB1, MSSA1;17;;;Ter;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
02873S01;MSS;Seminário Avançado em Serviço Social no Envelhecimento;MSSB1, MSSA1;16;;;Ter;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
02874S01;MSS;Seminário Avançado em Serviço Social na Deficiência;MSSB1, MSSA1;15;;;Ter;18:00:00;20:00:00;4;Sala Aulas Mestrado;;
02887TP01;MGRHCO;Inovação e Mudança Organizacional (2c);MGRHCOA1;27;;;Seg;09:30:00;11:00:00;3;Sala Aulas Mestrado Plus;;
02887TP01;MGRHCO;Inovação e Mudança Organizacional (2c);MGRHCOA1;27;;;Seg;08:00:00;09:30:00;3;Sala Aulas Mestrado Plus;;
