Turno;Curso;Unidade de execução;Turmas;Inscritos;Turnos com capacidade superior à capacidade das características das salas;Turno com inscrições superiores à capacidade das salas;slots;Dia da Semana;Inicio;Fim;Características da sala pedida para a aula;Sala;Lotação;Turno
01109-1TP01;"LE, LFC, LGM";Economia do Ambiente e dos Recursos Naturais;"GMKC1, FCC2, FCC1, EC2, EC1";46;;;3;Qui;;;Sala de Aulas normal;;;1
01138S01;DHMC;"Seminário de História Moderna e Contemporânea I - Especialidade em Defesa, Relações Internacionais";DHMCA1;1;;;4;Qui;;;Não necessita de sala;;;0
01144S01;DHMC;Seminário Teórico-Metodológico em História Moderna e Contemporânea I;DHMCA1;6;;;6;Sex;;;Sala Aulas Mestrado;;;0
01147-1TP03;MPSS;Saúde e Relações Sociais;MPSSA1;19;;;4;Qua;;;Sala Aulas Mestrado;;;0
01148-1TP02;MPSS;Saúde e Processos de Grupo;MPSSA1;17;;;4;Qua;;;Sala Aulas Mestrado;;;0
01158T01;MEEC;Economia da Empresa e Estratégia Empresarial;MEECA1;35;;;8;Qui;;;Sala Aulas Mestrado;;;0
01158T01;MEEC;Economia da Empresa e Estratégia Empresarial;MEECA1;35;;;8;Sáb;;;Laboratório de Informática;;;1
01174TP01;MEECult;Empreendedorismo em Cultura;MEEC-GC-B1;16;;;4;Qui;;;Sala Aulas Mestrado;;;0
01177T01;MEEC;Introdução às Finanças da Empresa;MEECA1;36;;;8;Sex;;;Sala Aulas Mestrado;;;0
01185TP01;MC;Reporte Empresarial;MContA1;38;;;6;Qui;;;Sala Aulas Mestrado;;;1
01186TP01;MA;Métodos de Pesquisa em Antropologia (2º Ciclo);MAGMMA1;22;;;4;Ter;;;Sala Aulas Mestrado;;;0
01190S01;MA;Seminário: Nacionalismos e Etnicidades;MAGMMA1;22;;;4;Qua;;;Sala Aulas Mestrado;;;0
01194TP01;PGCVD;Introdução à História do Visual na Antropologia;;0;;;4;Qui;;;Sala de Aulas normal;;;0
01292-1TP01;"LSS-PL, LS-PL";Sociologia da Informação e das Redes;"SS-PL-C2, SS-PL-C1, S-PL-C2, S-PL-C1";15;;;6;Qua;;;Sala de Aulas normal;;;0
01323TP01;MGST;Simulação de Sistemas e Operações;MGSTA1;23;;;6;Seg;;;Laboratório de Informática;;;1
01409S01;DSS;Investigação em Serviço Social;DSSA1;14;;;4;Seg;;;Sala Aulas Mestrado;;;0
01410S01;DSS;Teorias do Serviço Social;DSSA1;16;;;4;Seg;;;Sala Aulas Mestrado;;;0
01411S01;DSS;Problemas Sociais Contemporâneos;DSSA1;8;;;4;Qua;;;Sala Aulas Mestrado;;;0
01413S01;DSS;Políticas Públicas de Protecção Social;DSSA1;15;;;4;Ter;;;Sala Aulas Mestrado;;;0
01476-3PL01;"MCE, MPRI";Métodos de Investigação em Psicologia I;"MCEA1, MPRIB1, MPRIA1";3;;;4;Ter;;;Laboratório de Informática;;;0
01476-3TP02;"MCE, MPRI";Métodos de Investigação em Psicologia I;"MCEA1, MPRIA1";14;;;4;Ter;;;Laboratório de Informática;;;0
01549-6TP01;"ISCTE-IUL, LCP, LHMC, LP, LS, LS-PL, MIA";Empreendedorismo I - Introdução ao Empreendedorismo e Oportunidades de Negócio;CI-CT1;26;;;3;Qui;;;Sala de Aulas normal;;;1
01627TP01;MS;"Globalização, Justiça Social e Direitos Humanos";"MSocA1, MSA1";8;;;4;Qua;;;Sala Aulas Mestrado;;;0
01667TP01;MAE;Direito da Educação;MAEA1;22;;;4;Qui;;;Sala Aulas Mestrado;;;0
01670S01;MAE;Dissertação em Administração Escolar;MAEB1;16;;;4;Seg;;;Sala Aulas Mestrado;;;0
01673TP01;MAE;Comunicação em Educação;MAEA1;11;;;4;Sex;;;Sala Aulas Mestrado;;;0
01675TP01;MAE;Gestão da Qualidade em Educação;MAEA1;21;;;4;Sex;;;Sala Aulas Mestrado;;;0
01686TP01;MPRI;"Conceitos Fundamentais de Interacção Social, de Relações e dos Grupos";MPRIA1;15;;;8;Qua;;;Sala Aulas Mestrado;;;0
01704S01;DCCo;Tese em Ciências da Comunicação;;0;;;9;Qui;;;Sala Aulas Mestrado;;;0
01705-1TP01;DPP;Análise e Desenho de Políticas Públicas;DPPA1;22;;;4;Seg;;;Sala Aulas Mestrado;;;0
01705-2TP02;"PGPPSDN, MPP";Análise e Desenho de Políticas Públicas;"PG PPSDN_01, MPPA1";29;;;4;Seg;;;Sala Aulas Mestrado;;;0
01706TP02;"DPP, MPP";Políticas Públicas Europeias e Internacionais;DPPA1;19;;;4;Ter;;;Sala Aulas Mestrado;;;0
01706TP03;"DPP, MPP";Políticas Públicas Europeias e Internacionais;MPPA1;21;;;4;Ter;;;Sala Aulas Mestrado;;;0
01710TP01;MPP;Planeamento de Políticas Públicas;MPPA1;15;;;4;Qui;;;Sala Aulas Mestrado;;;0
01714TP01;MPP;Marketing Político;MPPA1;12;;;4;Seg;;;Sala Aulas Mestrado;;;0
